" ","score","status","future"
"Index",70.78,,74.74
"Food Provision",14.01,12.66,15.36
". Fisheries",13.37,12.11,14.63
". Mariculture",17.58,15.7,19.45
"Artisanal Fishing Opportunity",83.38,75.27,91.48
"Natural Products",69.76,62.88,76.64
"Carbon Storage",55.02,50.39,59.65
"Coastal Protection",24.72,22.97,26.47
"Tourism & Recreation",100,100,100
"Coastal Livelihoods & Economies",100,100,100
". Livelihoods",100,100,100
". Economies",100,100,100
"Sense of Place",77.76,74.27,81.24
". Iconic Species",71.93,67.14,76.72
". Lasting Special Places",83.59,81.41,85.77
"Clean Waters",91.74,85.06,98.42
"Biodiversity",91.46,84.83,98.1
". Habitats",92.72,85.43,100
". Species",90.21,84.22,96.19
