" ","score","status","future","trend","pressures","resilience"
"Index",71.72,,75.58,,,
"Food Provision",5.63,5.11,6.15,0,,
". Fisheries",6.61,6,7.22,0,14.27,75.94
". Mariculture",0.14,0.13,0.16,0,10.88,71.81
"Artisanal Fishing Opportunity",83.37,75.27,91.48,0,11.6,76.79
"Natural Products",79.29,71.39,87.2,-0.01,10.63,79.29
"Carbon Storage",55.02,50.39,59.65,0,11.56,67.2
"Coastal Protection",24.72,22.97,26.47,0,20.68,67.2
"Tourism & Recreation",100,100,100,-0.15,26.93,66.1
"Coastal Livelihoods & Economies",100,100,100,0.45,,
". Livelihoods",100,100,100,-0.11,11.74,63.2
". Economies",100,100,100,1,11.83,78.24
"Sense of Place",85.96,83.57,88.36,-0.05,,
". Iconic Species",71.93,67.14,76.71,-0.1,14.11,77.6
". Lasting Special Places",100,100,100,0,19.53,75.19
"Clean Waters",91.74,85.06,98.42,0.08,34.1,66.1
"Biodiversity",91.46,84.83,98.09,-0.04,,
". Habitats",92.72,85.43,100,0,11.52,78.51
". Species",90.2,84.22,96.19,-0.08,16.93,75.96
