" ","score","status","future","trend","pressures","resilience"
"Index",72.01,,75.91,,,
"Food Provision",3.74,3.39,4.09,0,,
". Fisheries",4.41,4,4.81,0,14.29,75.94
". Mariculture",0.02,0.02,0.02,0,10.88,71.81
"Artisanal Fishing Opportunity",83.37,75.27,91.47,0,11.63,76.79
"Natural Products",84.09,75.6,92.58,0,10.63,79.29
"Carbon Storage",55.01,50.39,59.63,0,11.65,67.2
"Coastal Protection",24.72,22.97,26.47,0,20.68,67.2
"Tourism & Recreation",100,100,100,-0.15,26.93,66.1
"Coastal Livelihoods & Economies",100,100,100,0.45,,
". Livelihoods",100,100,100,-0.11,11.74,63.2
". Economies",100,100,100,1,11.83,78.24
"Sense of Place",85.96,83.57,88.35,-0.05,,
". Iconic Species",71.92,67.14,76.7,-0.1,14.18,77.6
". Lasting Special Places",100,100,100,0,19.62,75.19
"Clean Waters",91.74,85.06,98.42,0.08,34.1,66.1
"Biodiversity",91.46,84.83,98.09,-0.04,,
". Habitats",92.72,85.43,100,0,11.55,78.51
". Species",90.2,84.22,96.17,-0.08,16.97,75.96
