" ","score","status","future","trend","pressures","resilience"
"Index",72.34,,76.29,,,
"Food Provision",1.88,1.7,2.06,0,,
". Fisheries",0,0,0,0,14.26,75.94
". Mariculture",12.36,11.16,13.55,0.02,10.88,71.81
"Artisanal Fishing Opportunity",83.38,75.27,91.48,0,11.58,76.79
"Natural Products",89.24,80.15,98.33,0,10.62,79.29
"Carbon Storage",55.03,50.39,59.66,0,11.5,67.2
"Coastal Protection",24.72,22.97,26.47,0,20.68,67.2
"Tourism & Recreation",100,100,100,-0.15,26.93,66.1
"Coastal Livelihoods & Economies",100,100,100,0.45,,
". Livelihoods",100,100,100,-0.11,11.74,63.2
". Economies",100,100,100,1,11.83,78.24
"Sense of Place",85.97,83.57,88.36,-0.05,,
". Iconic Species",71.93,67.14,76.72,-0.1,14.07,77.6
". Lasting Special Places",100,100,100,0,19.47,75.19
"Clean Waters",91.74,85.06,98.42,0.08,34.1,66.1
"Biodiversity",91.46,84.83,98.1,-0.04,,
". Habitats",92.72,85.43,100,0,11.5,78.51
". Species",90.21,84.22,96.19,-0.08,16.9,75.96
