"rgn_id","habitat","extent_rank"
4,"seagrass",3.493
8,"seagrass",3.493
3,"seagrass",3.493
5,"seagrass",3.493
11,"seagrass",3.493
1,"seagrass",3.493
10,"seagrass",3.493
7,"seagrass",3.493
2,"seagrass",3.493
6,"seagrass",3.493
9,"seagrass",3.493
4,"saltmarsh",1320
8,"saltmarsh",1320
3,"saltmarsh",1320
5,"saltmarsh",1320
11,"saltmarsh",1320
1,"saltmarsh",1320
10,"saltmarsh",1320
7,"saltmarsh",1320
2,"saltmarsh",1320
6,"saltmarsh",1320
9,"saltmarsh",1320
4,"seaice_shoreline",2744160.53921569
8,"seaice_shoreline",2744160.53921569
3,"seaice_shoreline",2744160.53921569
5,"seaice_shoreline",2744160.53921569
11,"seaice_shoreline",2744160.53921569
1,"seaice_shoreline",2744160.53921569
10,"seaice_shoreline",2744160.53921569
7,"seaice_shoreline",2744160.53921569
2,"seaice_shoreline",2744160.53921569
6,"seaice_shoreline",2744160.53921569
9,"seaice_shoreline",2744160.53921569
