"rgn_id","habitat","km2"
4,"mangrove",0
8,"mangrove",0
3,"mangrove",0
5,"mangrove",0
11,"mangrove",0
1,"mangrove",0
10,"mangrove",0
7,"mangrove",0
2,"mangrove",0
6,"mangrove",0
9,"mangrove",0
4,"rocky_reef",4860.51
8,"rocky_reef",4860.51
3,"rocky_reef",4860.51
5,"rocky_reef",4860.51
11,"rocky_reef",4860.51
1,"rocky_reef",4860.51
10,"rocky_reef",4860.51
7,"rocky_reef",4860.51
2,"rocky_reef",4860.51
6,"rocky_reef",4860.51
9,"rocky_reef",4860.51
4,"seagrass",3.493
8,"seagrass",3.493
3,"seagrass",3.493
5,"seagrass",3.493
11,"seagrass",3.493
1,"seagrass",3.493
10,"seagrass",3.493
7,"seagrass",3.493
2,"seagrass",3.493
6,"seagrass",3.493
9,"seagrass",3.493
4,"soft_bottom",2721990
8,"soft_bottom",2721990
3,"soft_bottom",2721990
5,"soft_bottom",2721990
11,"soft_bottom",2721990
1,"soft_bottom",2721990
10,"soft_bottom",2721990
7,"soft_bottom",2721990
2,"soft_bottom",2721990
6,"soft_bottom",2721990
9,"soft_bottom",2721990
4,"saltmarsh",440
8,"saltmarsh",440
3,"saltmarsh",440
5,"saltmarsh",440
11,"saltmarsh",440
1,"saltmarsh",440
10,"saltmarsh",440
7,"saltmarsh",440
2,"saltmarsh",440
6,"saltmarsh",440
9,"saltmarsh",440
4,"seaice_edge",487356.004901961
8,"seaice_edge",487356.004901961
3,"seaice_edge",487356.004901961
5,"seaice_edge",487356.004901961
11,"seaice_edge",487356.004901961
1,"seaice_edge",487356.004901961
10,"seaice_edge",487356.004901961
7,"seaice_edge",487356.004901961
2,"seaice_edge",487356.004901961
6,"seaice_edge",487356.004901961
9,"seaice_edge",487356.004901961
4,"seaice_shoreline",686040.134803922
8,"seaice_shoreline",686040.134803922
3,"seaice_shoreline",686040.134803922
5,"seaice_shoreline",686040.134803922
11,"seaice_shoreline",686040.134803922
1,"seaice_shoreline",686040.134803922
10,"seaice_shoreline",686040.134803922
7,"seaice_shoreline",686040.134803922
2,"seaice_shoreline",686040.134803922
6,"seaice_shoreline",686040.134803922
9,"seaice_shoreline",686040.134803922
