"rgn_id","sciname","category"
4,"Balaenoptera physalus","EN"
8,"Balaenoptera physalus","EN"
3,"Balaenoptera physalus","EN"
5,"Balaenoptera physalus","EN"
11,"Balaenoptera physalus","EN"
1,"Balaenoptera physalus","EN"
10,"Balaenoptera physalus","EN"
7,"Balaenoptera physalus","EN"
2,"Balaenoptera physalus","EN"
6,"Balaenoptera physalus","EN"
9,"Balaenoptera physalus","EN"
4,"Balaena mysticetus","LC"
8,"Balaena mysticetus","LC"
3,"Balaena mysticetus","LC"
5,"Balaena mysticetus","LC"
11,"Balaena mysticetus","LC"
1,"Balaena mysticetus","LC"
10,"Balaena mysticetus","LC"
7,"Balaena mysticetus","LC"
2,"Balaena mysticetus","LC"
6,"Balaena mysticetus","LC"
9,"Balaena mysticetus","LC"
4,"Eschrichtius robustus","LC"
8,"Eschrichtius robustus","LC"
3,"Eschrichtius robustus","LC"
5,"Eschrichtius robustus","LC"
11,"Eschrichtius robustus","LC"
1,"Eschrichtius robustus","LC"
10,"Eschrichtius robustus","LC"
7,"Eschrichtius robustus","LC"
2,"Eschrichtius robustus","LC"
6,"Eschrichtius robustus","LC"
9,"Eschrichtius robustus","LC"
4,"Ursus maritimus","VU"
8,"Ursus maritimus","VU"
3,"Ursus maritimus","VU"
5,"Ursus maritimus","VU"
11,"Ursus maritimus","VU"
1,"Ursus maritimus","VU"
10,"Ursus maritimus","VU"
7,"Ursus maritimus","VU"
2,"Ursus maritimus","VU"
6,"Ursus maritimus","VU"
9,"Ursus maritimus","VU"
4,"Balaenoptera musculus","EN"
8,"Balaenoptera musculus","EN"
3,"Balaenoptera musculus","EN"
5,"Balaenoptera musculus","EN"
11,"Balaenoptera musculus","EN"
1,"Balaenoptera musculus","EN"
10,"Balaenoptera musculus","EN"
7,"Balaenoptera musculus","EN"
2,"Balaenoptera musculus","EN"
6,"Balaenoptera musculus","EN"
9,"Balaenoptera musculus","EN"
4,"Balaenoptera borealis","EN"
8,"Balaenoptera borealis","EN"
3,"Balaenoptera borealis","EN"
5,"Balaenoptera borealis","EN"
11,"Balaenoptera borealis","EN"
1,"Balaenoptera borealis","EN"
10,"Balaenoptera borealis","EN"
7,"Balaenoptera borealis","EN"
2,"Balaenoptera borealis","EN"
6,"Balaenoptera borealis","EN"
9,"Balaenoptera borealis","EN"
4,"Balaenoptera acutorostrata","LC"
8,"Balaenoptera acutorostrata","LC"
3,"Balaenoptera acutorostrata","LC"
5,"Balaenoptera acutorostrata","LC"
11,"Balaenoptera acutorostrata","LC"
1,"Balaenoptera acutorostrata","LC"
10,"Balaenoptera acutorostrata","LC"
7,"Balaenoptera acutorostrata","LC"
2,"Balaenoptera acutorostrata","LC"
6,"Balaenoptera acutorostrata","LC"
9,"Balaenoptera acutorostrata","LC"
4,"Eubalaena glacialis","EN"
8,"Eubalaena glacialis","EN"
3,"Eubalaena glacialis","EN"
5,"Eubalaena glacialis","EN"
11,"Eubalaena glacialis","EN"
1,"Eubalaena glacialis","EN"
10,"Eubalaena glacialis","EN"
7,"Eubalaena glacialis","EN"
2,"Eubalaena glacialis","EN"
6,"Eubalaena glacialis","EN"
9,"Eubalaena glacialis","EN"
4,"Alopias vulpinus","VU"
8,"Alopias vulpinus","VU"
3,"Alopias vulpinus","VU"
5,"Alopias vulpinus","VU"
11,"Alopias vulpinus","VU"
1,"Alopias vulpinus","VU"
10,"Alopias vulpinus","VU"
7,"Alopias vulpinus","VU"
2,"Alopias vulpinus","VU"
6,"Alopias vulpinus","VU"
9,"Alopias vulpinus","VU"
4,"Megaptera novaeangliae","LC"
8,"Megaptera novaeangliae","LC"
3,"Megaptera novaeangliae","LC"
5,"Megaptera novaeangliae","LC"
11,"Megaptera novaeangliae","LC"
1,"Megaptera novaeangliae","LC"
10,"Megaptera novaeangliae","LC"
7,"Megaptera novaeangliae","LC"
2,"Megaptera novaeangliae","LC"
6,"Megaptera novaeangliae","LC"
9,"Megaptera novaeangliae","LC"
4,"Isurus oxyrinchus","VU"
8,"Isurus oxyrinchus","VU"
3,"Isurus oxyrinchus","VU"
5,"Isurus oxyrinchus","VU"
11,"Isurus oxyrinchus","VU"
1,"Isurus oxyrinchus","VU"
10,"Isurus oxyrinchus","VU"
7,"Isurus oxyrinchus","VU"
2,"Isurus oxyrinchus","VU"
6,"Isurus oxyrinchus","VU"
9,"Isurus oxyrinchus","VU"
4,"Lamna nasus","VU"
8,"Lamna nasus","VU"
3,"Lamna nasus","VU"
5,"Lamna nasus","VU"
11,"Lamna nasus","VU"
1,"Lamna nasus","VU"
10,"Lamna nasus","VU"
7,"Lamna nasus","VU"
2,"Lamna nasus","VU"
6,"Lamna nasus","VU"
9,"Lamna nasus","VU"
4,"Cetorhinus maximus","VU"
8,"Cetorhinus maximus","VU"
3,"Cetorhinus maximus","VU"
5,"Cetorhinus maximus","VU"
11,"Cetorhinus maximus","VU"
1,"Cetorhinus maximus","VU"
10,"Cetorhinus maximus","VU"
7,"Cetorhinus maximus","VU"
2,"Cetorhinus maximus","VU"
6,"Cetorhinus maximus","VU"
9,"Cetorhinus maximus","VU"
4,"Prionace glauca","NT"
8,"Prionace glauca","NT"
3,"Prionace glauca","NT"
5,"Prionace glauca","NT"
11,"Prionace glauca","NT"
1,"Prionace glauca","NT"
10,"Prionace glauca","NT"
7,"Prionace glauca","NT"
2,"Prionace glauca","NT"
6,"Prionace glauca","NT"
9,"Prionace glauca","NT"
