"rgn_id","sector","year","value"
1,"cf",2003,18890.2396612358
2,"cf",2003,18890.2396612358
3,"cf",2003,18890.2396612358
4,"cf",2003,18890.2396612358
5,"cf",2003,18890.2396612358
6,"cf",2003,18890.2396612358
7,"cf",2003,18890.2396612358
8,"cf",2003,18890.2396612358
9,"cf",2003,18890.2396612358
10,"cf",2003,18890.2396612358
11,"cf",2003,18890.2396612358
1,"cf",2004,19213.3775151352
2,"cf",2004,19213.3775151352
3,"cf",2004,19213.3775151352
4,"cf",2004,19213.3775151352
5,"cf",2004,19213.3775151352
6,"cf",2004,19213.3775151352
7,"cf",2004,19213.3775151352
8,"cf",2004,19213.3775151352
9,"cf",2004,19213.3775151352
10,"cf",2004,19213.3775151352
11,"cf",2004,19213.3775151352
1,"cf",2005,19887.712005876
2,"cf",2005,19887.712005876
3,"cf",2005,19887.712005876
4,"cf",2005,19887.712005876
5,"cf",2005,19887.712005876
6,"cf",2005,19887.712005876
7,"cf",2005,19887.712005876
8,"cf",2005,19887.712005876
9,"cf",2005,19887.712005876
10,"cf",2005,19887.712005876
11,"cf",2005,19887.712005876
1,"cf",2006,26020.1433404558
2,"cf",2006,26020.1433404558
3,"cf",2006,26020.1433404558
4,"cf",2006,26020.1433404558
5,"cf",2006,26020.1433404558
6,"cf",2006,26020.1433404558
7,"cf",2006,26020.1433404558
8,"cf",2006,26020.1433404558
9,"cf",2006,26020.1433404558
10,"cf",2006,26020.1433404558
11,"cf",2006,26020.1433404558
1,"cf",2007,35464.5265758547
2,"cf",2007,35464.5265758547
3,"cf",2007,35464.5265758547
4,"cf",2007,35464.5265758547
5,"cf",2007,35464.5265758547
6,"cf",2007,35464.5265758547
7,"cf",2007,35464.5265758547
8,"cf",2007,35464.5265758547
9,"cf",2007,35464.5265758547
10,"cf",2007,35464.5265758547
11,"cf",2007,35464.5265758547
1,"cf",2008,29320.9440660613
2,"cf",2008,29320.9440660613
3,"cf",2008,29320.9440660613
4,"cf",2008,29320.9440660613
5,"cf",2008,29320.9440660613
6,"cf",2008,29320.9440660613
7,"cf",2008,29320.9440660613
8,"cf",2008,29320.9440660613
9,"cf",2008,29320.9440660613
10,"cf",2008,29320.9440660613
11,"cf",2008,29320.9440660613
1,"ph",2002,15095.1508524751
2,"ph",2002,15095.1508524751
3,"ph",2002,15095.1508524751
4,"ph",2002,15095.1508524751
5,"ph",2002,15095.1508524751
6,"ph",2002,15095.1508524751
7,"ph",2002,15095.1508524751
8,"ph",2002,15095.1508524751
9,"ph",2002,15095.1508524751
10,"ph",2002,15095.1508524751
11,"ph",2002,15095.1508524751
1,"ph",2004,19506.0402199075
2,"ph",2004,19506.0402199075
