"rgn_id","year","area_km2"
4,0,54
8,0,54
3,0,54
5,0,54
11,0,54
1,0,54
10,0,54
7,0,54
2,0,54
6,0,54
9,0,54
4,1911,8
8,1911,8
3,1911,8
5,1911,8
11,1911,8
1,1911,8
10,1911,8
7,1911,8
2,1911,8
6,1911,8
9,1911,8
4,1919,36
8,1919,36
3,1919,36
5,1919,36
11,1919,36
1,1919,36
10,1919,36
7,1919,36
2,1919,36
6,1919,36
9,1919,36
4,1923,70
8,1923,70
3,1923,70
5,1923,70
11,1923,70
1,1923,70
10,1923,70
7,1923,70
2,1923,70
6,1923,70
9,1923,70
4,1925,384
8,1925,384
3,1925,384
5,1925,384
11,1925,384
1,1925,384
10,1925,384
7,1925,384
2,1925,384
6,1925,384
9,1925,384
4,1926,1
8,1926,1
3,1926,1
5,1926,1
11,1926,1
1,1926,1
10,1926,1
7,1926,1
2,1926,1
6,1926,1
9,1926,1
4,1927,26
8,1927,26
3,1927,26
5,1927,26
11,1927,26
1,1927,26
10,1927,26
7,1927,26
2,1927,26
6,1927,26
9,1927,26
4,1931,5
8,1931,5
3,1931,5
5,1931,5
11,1931,5
1,1931,5
10,1931,5
7,1931,5
2,1931,5
6,1931,5
9,1931,5
4,1936,27
8,1936,27
3,1936,27
5,1936,27
11,1936,27
1,1936,27
10,1936,27
7,1936,27
2,1936,27
6,1936,27
9,1936,27
4,1937,46
8,1937,46
3,1937,46
5,1937,46
11,1937,46
1,1937,46
10,1937,46
7,1937,46
2,1937,46
6,1937,46
9,1937,46
4,1939,84
8,1939,84
3,1939,84
5,1939,84
11,1939,84
1,1939,84
10,1939,84
7,1939,84
2,1939,84
6,1939,84
9,1939,84
4,1941,1082
8,1941,1082
3,1941,1082
5,1941,1082
11,1941,1082
1,1941,1082
10,1941,1082
7,1941,1082
2,1941,1082
6,1941,1082
9,1941,1082
4,1948,14
8,1948,14
3,1948,14
5,1948,14
11,1948,14
1,1948,14
10,1948,14
7,1948,14
2,1948,14
6,1948,14
9,1948,14
4,1950,1
8,1950,1
3,1950,1
5,1950,1
11,1950,1
1,1950,1
10,1950,1
7,1950,1
2,1950,1
6,1950,1
9,1950,1
4,1954,1
8,1954,1
3,1954,1
5,1954,1
11,1954,1
1,1954,1
10,1954,1
7,1954,1
2,1954,1
6,1954,1
9,1954,1
4,1955,28
8,1955,28
3,1955,28
5,1955,28
11,1955,28
1,1955,28
10,1955,28
7,1955,28
2,1955,28
6,1955,28
9,1955,28
4,1957,1319
8,1957,1319
3,1957,1319
5,1957,1319
11,1957,1319
1,1957,1319
10,1957,1319
7,1957,1319
2,1957,1319
6,1957,1319
9,1957,1319
4,1958,20
8,1958,20
3,1958,20
5,1958,20
11,1958,20
1,1958,20
10,1958,20
7,1958,20
2,1958,20
6,1958,20
9,1958,20
4,1959,565
8,1959,565
3,1959,565
5,1959,565
11,1959,565
1,1959,565
10,1959,565
7,1959,565
2,1959,565
6,1959,565
9,1959,565
4,1960,171
8,1960,171
3,1960,171
5,1960,171
11,1960,171
1,1960,171
10,1960,171
7,1960,171
2,1960,171
6,1960,171
9,1960,171
4,1961,6202
8,1961,6202
3,1961,6202
5,1961,6202
11,1961,6202
1,1961,6202
10,1961,6202
7,1961,6202
2,1961,6202
6,1961,6202
9,1961,6202
4,1962,5
8,1962,5
3,1962,5
5,1962,5
11,1962,5
1,1962,5
10,1962,5
7,1962,5
2,1962,5
6,1962,5
9,1962,5
4,1963,1
8,1963,1
3,1963,1
5,1963,1
11,1963,1
1,1963,1
10,1963,1
7,1963,1
2,1963,1
6,1963,1
9,1963,1
4,1964,217
8,1964,217
3,1964,217
5,1964,217
11,1964,217
1,1964,217
10,1964,217
7,1964,217
2,1964,217
6,1964,217
9,1964,217
4,1965,2051
8,1965,2051
3,1965,2051
5,1965,2051
11,1965,2051
1,1965,2051
10,1965,2051
7,1965,2051
2,1965,2051
6,1965,2051
9,1965,2051
4,1966,49
8,1966,49
3,1966,49
5,1966,49
11,1966,49
1,1966,49
10,1966,49
7,1966,49
2,1966,49
6,1966,49
9,1966,49
4,1967,18
8,1967,18
3,1967,18
5,1967,18
11,1967,18
1,1967,18
10,1967,18
7,1967,18
2,1967,18
6,1967,18
9,1967,18
4,1968,3
8,1968,3
3,1968,3
5,1968,3
11,1968,3
1,1968,3
10,1968,3
7,1968,3
2,1968,3
6,1968,3
9,1968,3
4,1969,1
8,1969,1
3,1969,1
5,1969,1
11,1969,1
1,1969,1
10,1969,1
7,1969,1
2,1969,1
6,1969,1
9,1969,1
4,1970,380
8,1970,380
3,1970,380
5,1970,380
11,1970,380
1,1970,380
10,1970,380
7,1970,380
2,1970,380
6,1970,380
9,1970,380
4,1971,196
8,1971,196
3,1971,196
5,1971,196
11,1971,196
1,1971,196
10,1971,196
7,1971,196
2,1971,196
6,1971,196
9,1971,196
4,1972,7
8,1972,7
3,1972,7
5,1972,7
11,1972,7
1,1972,7
10,1972,7
7,1972,7
2,1972,7
6,1972,7
9,1972,7
4,1973,271
8,1973,271
3,1973,271
5,1973,271
11,1973,271
1,1973,271
10,1973,271
7,1973,271
2,1973,271
6,1973,271
9,1973,271
4,1974,52
8,1974,52
3,1974,52
5,1974,52
11,1974,52
1,1974,52
10,1974,52
7,1974,52
2,1974,52
6,1974,52
9,1974,52
4,1975,326
8,1975,326
3,1975,326
5,1975,326
11,1975,326
1,1975,326
10,1975,326
7,1975,326
2,1975,326
6,1975,326
9,1975,326
4,1976,1093
8,1976,1093
3,1976,1093
5,1976,1093
11,1976,1093
1,1976,1093
10,1976,1093
7,1976,1093
2,1976,1093
6,1976,1093
9,1976,1093
4,1977,56
8,1977,56
3,1977,56
5,1977,56
11,1977,56
1,1977,56
10,1977,56
7,1977,56
2,1977,56
6,1977,56
9,1977,56
4,1978,48
8,1978,48
3,1978,48
5,1978,48
11,1978,48
1,1978,48
10,1978,48
7,1978,48
2,1978,48
6,1978,48
9,1978,48
4,1979,67
8,1979,67
3,1979,67
5,1979,67
11,1979,67
1,1979,67
10,1979,67
7,1979,67
2,1979,67
6,1979,67
9,1979,67
4,1980,50
8,1980,50
3,1980,50
5,1980,50
11,1980,50
1,1980,50
10,1980,50
7,1980,50
2,1980,50
6,1980,50
9,1980,50
4,1981,453
8,1981,453
3,1981,453
5,1981,453
11,1981,453
1,1981,453
10,1981,453
7,1981,453
2,1981,453
6,1981,453
9,1981,453
4,1982,143
8,1982,143
3,1982,143
5,1982,143
11,1982,143
1,1982,143
10,1982,143
7,1982,143
2,1982,143
6,1982,143
9,1982,143
4,1983,29
8,1983,29
3,1983,29
5,1983,29
11,1983,29
1,1983,29
10,1983,29
7,1983,29
2,1983,29
6,1983,29
9,1983,29
4,1984,502
8,1984,502
3,1984,502
5,1984,502
11,1984,502
1,1984,502
10,1984,502
7,1984,502
2,1984,502
6,1984,502
9,1984,502
4,1985,328
8,1985,328
3,1985,328
5,1985,328
11,1985,328
1,1985,328
10,1985,328
7,1985,328
2,1985,328
6,1985,328
9,1985,328
4,1986,142
8,1986,142
3,1986,142
5,1986,142
11,1986,142
1,1986,142
10,1986,142
7,1986,142
2,1986,142
6,1986,142
9,1986,142
4,1987,393
8,1987,393
3,1987,393
5,1987,393
11,1987,393
1,1987,393
10,1987,393
7,1987,393
2,1987,393
6,1987,393
9,1987,393
4,1988,1436
8,1988,1436
3,1988,1436
5,1988,1436
11,1988,1436
1,1988,1436
10,1988,1436
7,1988,1436
2,1988,1436
6,1988,1436
9,1988,1436
4,1989,19
8,1989,19
3,1989,19
5,1989,19
11,1989,19
1,1989,19
10,1989,19
7,1989,19
2,1989,19
6,1989,19
9,1989,19
4,1990,18
8,1990,18
3,1990,18
5,1990,18
11,1990,18
1,1990,18
10,1990,18
7,1990,18
2,1990,18
6,1990,18
9,1990,18
4,1991,313
8,1991,313
3,1991,313
5,1991,313
11,1991,313
1,1991,313
10,1991,313
7,1991,313
2,1991,313
6,1991,313
9,1991,313
4,1992,1533
8,1992,1533
3,1992,1533
5,1992,1533
11,1992,1533
1,1992,1533
10,1992,1533
7,1992,1533
2,1992,1533
6,1992,1533
9,1992,1533
4,1993,504
8,1993,504
3,1993,504
5,1993,504
11,1993,504
1,1993,504
10,1993,504
7,1993,504
2,1993,504
6,1993,504
9,1993,504
4,1994,10
8,1994,10
3,1994,10
5,1994,10
11,1994,10
1,1994,10
10,1994,10
7,1994,10
2,1994,10
6,1994,10
9,1994,10
4,1995,1416
8,1995,1416
3,1995,1416
5,1995,1416
11,1995,1416
1,1995,1416
10,1995,1416
7,1995,1416
2,1995,1416
6,1995,1416
9,1995,1416
4,1996,1715
8,1996,1715
3,1996,1715
5,1996,1715
11,1996,1715
1,1996,1715
10,1996,1715
7,1996,1715
2,1996,1715
6,1996,1715
9,1996,1715
4,1997,52
8,1997,52
3,1997,52
5,1997,52
11,1997,52
1,1997,52
10,1997,52
7,1997,52
2,1997,52
6,1997,52
9,1997,52
4,1998,1078
8,1998,1078
3,1998,1078
5,1998,1078
11,1998,1078
1,1998,1078
10,1998,1078
7,1998,1078
2,1998,1078
6,1998,1078
9,1998,1078
4,1999,630
8,1999,630
3,1999,630
5,1999,630
11,1999,630
1,1999,630
10,1999,630
7,1999,630
2,1999,630
6,1999,630
9,1999,630
4,2000,7
8,2000,7
3,2000,7
5,2000,7
11,2000,7
1,2000,7
10,2000,7
7,2000,7
2,2000,7
6,2000,7
9,2000,7
4,2001,977
8,2001,977
3,2001,977
5,2001,977
11,2001,977
1,2001,977
10,2001,977
7,2001,977
2,2001,977
6,2001,977
9,2001,977
4,2002,16
8,2002,16
3,2002,16
5,2002,16
11,2002,16
1,2002,16
10,2002,16
7,2002,16
2,2002,16
6,2002,16
9,2002,16
4,2003,2505
8,2003,2505
3,2003,2505
5,2003,2505
11,2003,2505
1,2003,2505
10,2003,2505
7,2003,2505
2,2003,2505
6,2003,2505
9,2003,2505
4,2004,69
8,2004,69
3,2004,69
5,2004,69
11,2004,69
1,2004,69
10,2004,69
7,2004,69
2,2004,69
6,2004,69
9,2004,69
4,2005,1086
8,2005,1086
3,2005,1086
5,2005,1086
11,2005,1086
1,2005,1086
10,2005,1086
7,2005,1086
2,2005,1086
6,2005,1086
9,2005,1086
4,2006,910
8,2006,910
3,2006,910
5,2006,910
11,2006,910
1,2006,910
10,2006,910
7,2006,910
2,2006,910
6,2006,910
9,2006,910
4,2007,473
8,2007,473
3,2007,473
5,2007,473
11,2007,473
1,2007,473
10,2007,473
7,2007,473
2,2007,473
6,2007,473
9,2007,473
4,2008,1894
8,2008,1894
3,2008,1894
5,2008,1894
11,2008,1894
1,2008,1894
10,2008,1894
7,2008,1894
2,2008,1894
6,2008,1894
9,2008,1894
4,2009,58
8,2009,58
3,2009,58
5,2009,58
11,2009,58
1,2009,58
10,2009,58
7,2009,58
2,2009,58
6,2009,58
9,2009,58
4,2010,4429
8,2010,4429
3,2010,4429
5,2010,4429
11,2010,4429
1,2010,4429
10,2010,4429
7,2010,4429
2,2010,4429
6,2010,4429
9,2010,4429
