"rgn_id","level","label"
4,"r2","Northern America"
8,"r2","Northern America"
3,"r2","Northern America"
5,"r2","Northern America"
11,"r2","Northern America"
1,"r2","Northern America"
10,"r2","Northern America"
7,"r2","Northern America"
2,"r2","Northern America"
6,"r2","Northern America"
9,"r2","Northern America"
4,"r1","Americas"
8,"r1","Americas"
3,"r1","Americas"
5,"r1","Americas"
11,"r1","Americas"
1,"r1","Americas"
10,"r1","Americas"
7,"r1","Americas"
2,"r1","Americas"
6,"r1","Americas"
9,"r1","Americas"
4,"r0","World"
8,"r0","World"
3,"r0","World"
5,"r0","World"
11,"r0","World"
1,"r0","World"
10,"r0","World"
7,"r0","World"
2,"r0","World"
6,"r0","World"
9,"r0","World"
