" ","score","status","future","trend","pressures","resilience"
"Index",71.96,,75.84,,,
"Food Provision",8.46,7.68,9.24,0,,
". Fisheries",9.92,9,10.83,0,14.26,75.94
". Mariculture",0.32,0.29,0.35,0,10.88,71.81
"Artisanal Fishing Opportunity",83.37,75.27,91.48,0,11.59,76.79
"Natural Products",78.81,70.91,86.71,-0.01,10.63,79.29
"Carbon Storage",55.02,50.39,59.65,0,11.52,67.2
"Coastal Protection",24.72,22.97,26.47,0,20.68,67.2
"Tourism & Recreation",100,100,100,-0.15,26.93,66.1
"Coastal Livelihoods & Economies",100,100,100,0.45,,
". Livelihoods",100,100,100,-0.11,11.74,63.2
". Economies",100,100,100,1,11.83,78.24
"Sense of Place",85.97,83.57,88.36,-0.05,,
". Iconic Species",71.93,67.14,76.72,-0.1,14.08,77.6
". Lasting Special Places",100,100,100,0,19.49,75.19
"Clean Waters",91.74,85.06,98.42,0.08,34.1,66.1
"Biodiversity",91.46,84.83,98.1,-0.04,,
". Habitats",92.72,85.43,100,0,11.5,78.51
". Species",90.21,84.22,96.19,-0.08,16.91,75.96
