"goal","dimension","region_id","score"
"AO","future",0,91.48
"AO","future",1,91.48
"AO","future",2,91.48
"AO","future",3,91.48
"AO","future",4,91.47
"AO","future",5,91.48
"AO","future",6,91.48
"AO","future",7,91.48
"AO","future",8,91.48
"AO","future",9,91.48
"AO","future",10,91.48
"AO","future",11,91.48
"AO","pressures",1,11.59
"AO","pressures",2,11.58
"AO","pressures",3,11.59
"AO","pressures",4,11.63
"AO","pressures",5,11.59
"AO","pressures",6,11.6
"AO","pressures",7,11.58
"AO","pressures",8,11.58
"AO","pressures",9,11.58
"AO","pressures",10,11.58
"AO","pressures",11,11.58
"AO","resilience",1,76.79
"AO","resilience",2,76.79
"AO","resilience",3,76.79
"AO","resilience",4,76.79
"AO","resilience",5,76.79
"AO","resilience",6,76.79
"AO","resilience",7,76.79
"AO","resilience",8,76.79
"AO","resilience",9,76.79
"AO","resilience",10,76.79
"AO","resilience",11,76.79
"AO","score",0,83.38
"AO","score",1,83.37
"AO","score",2,83.38
"AO","score",3,83.37
"AO","score",4,83.37
"AO","score",5,83.37
"AO","score",6,83.37
"AO","score",7,83.38
"AO","score",8,83.38
"AO","score",9,83.38
"AO","score",10,83.38
"AO","score",11,83.38
"AO","status",0,75.27
"AO","status",1,75.27
"AO","status",2,75.27
"AO","status",3,75.27
"AO","status",4,75.27
"AO","status",5,75.27
"AO","status",6,75.27
"AO","status",7,75.27
"AO","status",8,75.27
"AO","status",9,75.27
"AO","status",10,75.27
"AO","status",11,75.27
"AO","trend",1,0
"AO","trend",2,0
"AO","trend",3,0
"AO","trend",4,0
"AO","trend",5,0
"AO","trend",6,0
"AO","trend",7,0
"AO","trend",8,0
"AO","trend",9,0
"AO","trend",10,0
"AO","trend",11,0
"BD","future",0,98.1
"BD","future",1,98.09
"BD","future",2,98.1
"BD","future",3,98.1
"BD","future",4,98.09
"BD","future",5,98.1
"BD","future",6,98.09
"BD","future",7,98.1
"BD","future",8,98.1
"BD","future",9,98.1
"BD","future",10,98.1
"BD","future",11,98.1
"BD","pressures",1,
"BD","pressures",2,
"BD","pressures",3,
"BD","pressures",4,
"BD","pressures",5,
"BD","pressures",6,
"BD","pressures",7,
"BD","pressures",8,
"BD","pressures",9,
"BD","pressures",10,
"BD","pressures",11,
"BD","resilience",1,
"BD","resilience",2,
"BD","resilience",3,
"BD","resilience",4,
"BD","resilience",5,
"BD","resilience",6,
"BD","resilience",7,
"BD","resilience",8,
"BD","resilience",9,
"BD","resilience",10,
"BD","resilience",11,
"BD","score",0,91.46
"BD","score",1,91.46
"BD","score",2,91.46
"BD","score",3,91.46
"BD","score",4,91.46
"BD","score",5,91.46
"BD","score",6,91.46
"BD","score",7,91.46
"BD","score",8,91.46
"BD","score",9,91.46
"BD","score",10,91.46
"BD","score",11,91.46
"BD","status",0,84.83
"BD","status",1,84.83
"BD","status",2,84.83
"BD","status",3,84.83
"BD","status",4,84.83
"BD","status",5,84.83
"BD","status",6,84.83
"BD","status",7,84.83
"BD","status",8,84.83
"BD","status",9,84.83
"BD","status",10,84.83
"BD","status",11,84.83
"BD","trend",1,-0.04
"BD","trend",2,-0.04
"BD","trend",3,-0.04
"BD","trend",4,-0.04
"BD","trend",5,-0.04
"BD","trend",6,-0.04
"BD","trend",7,-0.04
"BD","trend",8,-0.04
"BD","trend",9,-0.04
"BD","trend",10,-0.04
"BD","trend",11,-0.04
"CP","future",0,26.47
"CP","future",1,26.47
"CP","future",2,26.47
"CP","future",3,26.47
"CP","future",4,26.47
"CP","future",5,26.47
"CP","future",6,26.47
"CP","future",7,26.47
"CP","future",8,26.47
"CP","future",9,26.47
"CP","future",10,26.47
"CP","future",11,26.47
"CP","pressures",1,20.68
"CP","pressures",2,20.68
"CP","pressures",3,20.68
"CP","pressures",4,20.68
